epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5482.41,1.01741,0.87656,1.29266,0.93967,0.94866,0.969,0.7591,0.85407,0.46405,1.29688,0.0063865,0.0063865,0.0063865
75,5559.76,1.02373,0.89126,1.30754,0.92843,0.96254,0.97702,0.76882,0.84213,0.45108,1.28041,0.006337,0.006337,0.006337
76,5633.04,1.01036,0.87783,1.29457,0.94042,0.94809,0.97111,0.76582,0.84057,0.45342,1.27176,0.0062875,0.0062875,0.0062875
77,5706.62,1.01204,0.88079,1.29936,0.93122,0.96025,0.97383,0.77156,0.82065,0.45328,1.26489,0.006238,0.006238,0.006238
78,5779.99,1.00233,0.85279,1.2907,0.93709,0.96947,0.9772,0.77566,0.81248,0.43555,1.25529,0.0061885,0.0061885,0.0061885
79,5853.29,1.00142,0.85442,1.29106,0.93789,0.95957,0.97311,0.77493,0.8181,0.4435,1.26809,0.006139,0.006139,0.006139
80,5926.83,0.99471,0.85526,1.2844,0.93883,0.95645,0.97435,0.77216,0.82894,0.45153,1.27485,0.0060895,0.0060895,0.0060895
81,6000.1,1.0022,0.87015,1.2942,0.92231,0.96418,0.96906,0.7693,0.80949,0.44788,1.24831,0.00604,0.00604,0.00604
82,6073.5,0.99305,0.84433,1.28221,0.94286,0.95308,0.97551,0.77798,0.79716,0.43848,1.23832,0.0059905,0.0059905,0.0059905
83,6147.14,1.00227,0.84023,1.28677,0.95174,0.9672,0.97989,0.78287,0.79942,0.42727,1.23551,0.005941,0.005941,0.005941
84,6220.93,0.97769,0.82209,1.2716,0.94462,0.96961,0.97695,0.77851,0.80131,0.42938,1.2404,0.0058915,0.0058915,0.0058915
85,6294,0.98623,0.85378,1.28703,0.94901,0.96304,0.97495,0.77775,0.79769,0.43929,1.24388,0.005842,0.005842,0.005842
86,6367.1,0.99248,0.85169,1.28775,0.9416,0.96476,0.97494,0.77936,0.79636,0.42799,1.24572,0.0057925,0.0057925,0.0057925
87,6441.22,0.98258,0.83048,1.27697,0.94421,0.96211,0.97631,0.78074,0.79728,0.44182,1.25166,0.005743,0.005743,0.005743
88,6515,0.97589,0.83023,1.27944,0.95504,0.97322,0.97877,0.7841,0.79556,0.44277,1.24722,0.0056935,0.0056935,0.0056935
89,6588.34,0.97125,0.81535,1.27148,0.95735,0.95758,0.98073,0.78904,0.77459,0.43213,1.21794,0.005644,0.005644,0.005644
90,6661.87,0.96636,0.82385,1.27575,0.95586,0.95985,0.98092,0.78926,0.78123,0.42353,1.22994,0.0055945,0.0055945,0.0055945
91,6737.17,0.97142,0.81139,1.2733,0.94497,0.97303,0.98001,0.78947,0.77438,0.42045,1.22438,0.005545,0.005545,0.005545
92,6812.6,0.97207,0.81688,1.27143,0.95278,0.97059,0.97893,0.79245,0.7759,0.42543,1.221,0.0054955,0.0054955,0.0054955
93,6885.8,0.96445,0.80258,1.26402,0.95816,0.96455,0.97698,0.78407,0.78949,0.4268,1.23862,0.005446,0.005446,0.005446
94,6959.32,0.9617,0.79983,1.25888,0.95432,0.9631,0.97576,0.78171,0.79172,0.43335,1.24736,0.0053965,0.0053965,0.0053965
95,7032.87,0.95698,0.80012,1.26151,0.96255,0.95554,0.97633,0.78617,0.77576,0.41891,1.23308,0.005347,0.005347,0.005347
96,7106.71,0.95191,0.79176,1.25184,0.96112,0.95248,0.981,0.78951,0.78076,0.41283,1.23166,0.0052975,0.0052975,0.0052975
97,7181.05,0.94779,0.78801,1.25403,0.94408,0.97075,0.97916,0.79189,0.7765,0.41118,1.23198,0.005248,0.005248,0.005248
98,7255.22,0.95691,0.81296,1.26775,0.95108,0.97155,0.97938,0.79477,0.77274,0.4099,1.22096,0.0051985,0.0051985,0.0051985
99,7329.18,0.95077,0.80278,1.26109,0.9509,0.96284,0.97974,0.79455,0.76554,0.40767,1.21639,0.005149,0.005149,0.005149
100,7403.98,0.94973,0.79192,1.25191,0.95636,0.96499,0.98167,0.79588,0.76397,0.40388,1.21136,0.0050995,0.0050995,0.0050995
101,7478.38,0.94966,0.78884,1.25313,0.95357,0.97022,0.98154,0.79515,0.76927,0.40667,1.22091,0.00505,0.00505,0.00505
102,7553.77,0.95511,0.79515,1.24655,0.96691,0.95007,0.97854,0.79571,0.75662,0.40111,1.2045,0.0050005,0.0050005,0.0050005
103,7627.68,0.93721,0.7784,1.25065,0.94607,0.962,0.97857,0.79579,0.76418,0.41289,1.21087,0.004951,0.004951,0.004951
104,7702.22,0.93493,0.77344,1.24918,0.96114,0.95016,0.97946,0.79824,0.75511,0.40965,1.20484,0.0049015,0.0049015,0.0049015
105,7775.96,0.93083,0.76652,1.25138,0.95538,0.96161,0.98005,0.79873,0.76053,0.40413,1.21725,0.004852,0.004852,0.004852
106,7849.77,0.93241,0.77523,1.24749,0.948,0.96655,0.97955,0.79984,0.76466,0.41379,1.21825,0.0048025,0.0048025,0.0048025
107,7923.36,0.93572,0.77367,1.25239,0.95688,0.96619,0.98009,0.79941,0.76639,0.40855,1.21866,0.004753,0.004753,0.004753
108,7997.31,0.93528,0.77551,1.24631,0.95328,0.97154,0.9814,0.80268,0.75147,0.40343,1.20257,0.0047035,0.0047035,0.0047035
109,8071.25,0.92508,0.75697,1.23611,0.95365,0.97556,0.9811,0.80547,0.74602,0.3972,1.19708,0.004654,0.004654,0.004654
110,8145.31,0.9126,0.74258,1.23011,0.95124,0.96946,0.98092,0.80796,0.7332,0.39312,1.18321,0.0046045,0.0046045,0.0046045
111,8219.44,0.91272,0.75766,1.23727,0.9526,0.96475,0.97838,0.80595,0.72993,0.39536,1.18161,0.004555,0.004555,0.004555
112,8293.46,0.91222,0.75535,1.2358,0.95094,0.96998,0.97942,0.80419,0.73339,0.40006,1.18626,0.0045055,0.0045055,0.0045055
113,8366.99,0.90929,0.74247,1.22807,0.95362,0.96229,0.97885,0.80726,0.73268,0.39442,1.18792,0.004456,0.004456,0.004456
114,8441.5,0.9153,0.75316,1.23134,0.95157,0.96456,0.9776,0.80753,0.73095,0.39452,1.18408,0.0044065,0.0044065,0.0044065
115,8515.47,0.90802,0.74198,1.23397,0.95256,0.96382,0.9771,0.81218,0.72779,0.39498,1.18069,0.004357,0.004357,0.004357
116,8590.18,0.90948,0.74547,1.235,0.95965,0.95729,0.97777,0.81109,0.73122,0.3963,1.18055,0.0043075,0.0043075,0.0043075
117,8665.23,0.89737,0.73062,1.22332,0.95009,0.97195,0.97876,0.80811,0.72933,0.39585,1.17802,0.004258,0.004258,0.004258
118,8740.52,0.91298,0.75381,1.23845,0.96262,0.95668,0.97797,0.80936,0.72775,0.39294,1.17455,0.0042085,0.0042085,0.0042085
119,8816.63,0.90462,0.7434,1.22408,0.96155,0.96167,0.97847,0.81012,0.72102,0.39391,1.17137,0.004159,0.004159,0.004159
120,8891.73,0.90186,0.72594,1.22078,0.94955,0.96855,0.97933,0.81177,0.71771,0.39017,1.16954,0.0041095,0.0041095,0.0041095
121,8964.68,0.8966,0.73542,1.22426,0.95193,0.96584,0.97911,0.81194,0.71701,0.38822,1.16886,0.00406,0.00406,0.00406
122,9038.16,0.89632,0.72972,1.21954,0.94919,0.9711,0.98015,0.81544,0.71816,0.38372,1.17063,0.0040105,0.0040105,0.0040105
123,9111.47,0.89669,0.72885,1.22337,0.95446,0.96611,0.98102,0.81621,0.72239,0.38256,1.17147,0.003961,0.003961,0.003961
124,9184.73,0.88722,0.71859,1.21546,0.95813,0.96794,0.981,0.81531,0.72207,0.37864,1.17101,0.0039115,0.0039115,0.0039115
125,9258.03,0.88501,0.71513,1.21174,0.95864,0.96785,0.98136,0.8155,0.72398,0.3783,1.17472,0.003862,0.003862,0.003862
126,9331.99,0.87257,0.71269,1.21147,0.9568,0.9706,0.98207,0.81411,0.72338,0.37597,1.17455,0.0038125,0.0038125,0.0038125
127,9405.28,0.88668,0.71689,1.21032,0.96132,0.96833,0.98284,0.81662,0.71909,0.37144,1.17345,0.003763,0.003763,0.003763
128,9478.7,0.88042,0.71739,1.21443,0.95861,0.96703,0.98214,0.81618,0.71725,0.3701,1.17339,0.0037135,0.0037135,0.0037135
129,9552.02,0.8663,0.6882,1.19778,0.96186,0.96414,0.98216,0.81884,0.71775,0.36982,1.1735,0.003664,0.003664,0.003664
130,9625.62,0.87808,0.7096,1.21406,0.95837,0.97361,0.98388,0.81871,0.71635,0.36997,1.17055,0.0036145,0.0036145,0.0036145
131,9698.85,0.87466,0.71345,1.21774,0.95871,0.97556,0.98338,0.81742,0.71515,0.36911,1.16912,0.003565,0.003565,0.003565
132,9771.84,0.86801,0.69963,1.20229,0.96232,0.97459,0.98234,0.81784,0.71473,0.36676,1.17025,0.0035155,0.0035155,0.0035155
133,9844.82,0.86129,0.69247,1.19651,0.96437,0.98049,0.98443,0.81752,0.71532,0.36567,1.17105,0.003466,0.003466,0.003466
134,9917.74,0.87454,0.69776,1.2113,0.96217,0.98063,0.9839,0.81886,0.71517,0.36414,1.1714,0.0034165,0.0034165,0.0034165
135,9990.89,0.86939,0.69135,1.20507,0.96515,0.98158,0.98554,0.82284,0.71289,0.36415,1.16863,0.003367,0.003367,0.003367
136,10064.4,0.85323,0.68376,1.19444,0.96694,0.98323,0.98553,0.82293,0.71233,0.36294,1.16734,0.0033175,0.0033175,0.0033175
137,10138.4,0.85718,0.69004,1.20313,0.96869,0.98201,0.98592,0.82435,0.70836,0.36031,1.16327,0.003268,0.003268,0.003268
